"subject"	"activity"	"MeanSamples"
"1"	1	"LAYING"	-0.681581978523055
"2"	1	"SITTING"	-0.725010256710861
"3"	1	"STANDING"	-0.751886863913404
"4"	1	"WALKING"	-0.193204572492262
"5"	1	"WALKINGDOWNSTAIRS"	-0.149358035365099
"6"	1	"WALKINGUPSTAIRS"	-0.315336808393305
"7"	2	"LAYING"	-0.743126753233842
"8"	2	"SITTING"	-0.737361985616243
"9"	2	"STANDING"	-0.739970261016944
"10"	2	"WALKING"	-0.32544820638322
"11"	2	"WALKINGDOWNSTAIRS"	-0.106411521321941
"12"	2	"WALKINGUPSTAIRS"	-0.27094863788048
"13"	3	"LAYING"	-0.734347688677236
"14"	3	"SITTING"	-0.707845449974583
"15"	3	"STANDING"	-0.712068206745217
"16"	3	"WALKING"	-0.317947801074047
"17"	3	"WALKINGDOWNSTAIRS"	-0.232708366871836
"18"	3	"WALKINGUPSTAIRS"	-0.358357567758965
"19"	4	"LAYING"	-0.728668034663377
"20"	4	"SITTING"	-0.717843420704141
"21"	4	"STANDING"	-0.705320467661402
"22"	4	"WALKING"	-0.392128132692634
"23"	4	"WALKINGDOWNSTAIRS"	-0.281840698460603
"24"	4	"WALKINGUPSTAIRS"	-0.341355950186464
"25"	5	"LAYING"	-0.739085358855865
"26"	5	"SITTING"	-0.71816250875378
"27"	5	"STANDING"	-0.698248943096751
"28"	5	"WALKING"	-0.290846535887125
"29"	5	"WALKINGDOWNSTAIRS"	-0.149721994636294
"30"	5	"WALKINGUPSTAIRS"	-0.244346694233246
"31"	6	"LAYING"	-0.714481502407656
"32"	6	"SITTING"	-0.7166252231237
"33"	6	"STANDING"	-0.723169679977658
"34"	6	"WALKING"	-0.231135633132547
"35"	6	"WALKINGDOWNSTAIRS"	-0.000804104618582071
"36"	6	"WALKINGUPSTAIRS"	-0.189984813956898
"37"	7	"LAYING"	-0.723857064735047
"38"	7	"SITTING"	-0.712354376735631
"39"	7	"STANDING"	-0.725824852727622
"40"	7	"WALKING"	-0.184567020446338
"41"	7	"WALKINGDOWNSTAIRS"	-0.164658253921528
"42"	7	"WALKINGUPSTAIRS"	-0.362851021783283
